iter	Passed	Remaining
438	1364	1743
439	1367	1740
440	1370	1737
441	1373	1733
442	1376	1730
443	1379	1727
444	1382	1723
445	1385	1720
446	1388	1717
447	1390	1713
448	1394	1710
449	1397	1707
450	1399	1704
451	1403	1701
452	1406	1697
453	1409	1695
454	1413	1693
455	1416	1689
456	1419	1686
457	1422	1683
458	1425	1679
459	1428	1676
460	1431	1673
461	1434	1671
462	1437	1667
463	1440	1664
464	1444	1661
465	1447	1658
466	1449	1654
467	1452	1651
468	1455	1648
469	1458	1645
470	1462	1642
471	1466	1640
472	1470	1638
473	1474	1636
474	1478	1634
475	1482	1632
476	1486	1630
477	1490	1627
478	1494	1625
479	1497	1622
480	1500	1618
481	1503	1615
482	1506	1612
483	1509	1609
484	1514	1607
485	1518	1606
486	1521	1602
487	1525	1600
488	1529	1598
489	1532	1594
490	1536	1592
491	1541	1591
492	1545	1589
493	1550	1588
494	1554	1585
495	1558	1583
496	1563	1581
497	1567	1580
498	1571	1578
499	1576	1576
500	1581	1574
501	1585	1573
502	1591	1572
503	1596	1571
504	1601	1569
505	1607	1569
506	1612	1568
507	1617	1566
508	1623	1566
509	1628	1564
510	1632	1562
511	1637	1560
512	1642	1558
513	1646	1556
514	1650	1554
515	1655	1553
516	1659	1550
517	1663	1547
518	1668	1545
519	1674	1545
520	1680	1544
521	1686	1544
522	1692	1543
523	1698	1542
524	1704	1541
525	1708	1539
526	1713	1538
527	1718	1536
528	1722	1533
529	1725	1530
530	1730	1528
531	1734	1525
532	1738	1522
533	1741	1519
534	1745	1516
535	1748	1513
536	1752	1511
537	1756	1508
538	1759	1505
539	1763	1502
540	1766	1498
541	1770	1495
542	1773	1492
543	1777	1489
544	1780	1486
545	1783	1483
546	1787	1480
547	1791	1477
548	1796	1475
549	1800	1473
550	1805	1471
551	1810	1469
552	1814	1467
553	1820	1465
554	1824	1462
555	1827	1459
556	1830	1456
557	1835	1453
558	1840	1452
559	1844	1449
560	1849	1446
561	1852	1443
562	1856	1440
563	1859	1437
564	1863	1434
565	1867	1432
566	1871	1429
567	1875	1426
568	1878	1423
569	1882	1419
570	1886	1417
571	1891	1415
572	1896	1412
573	1901	1410
574	1904	1407
575	1908	1404
576	1911	1401
577	1914	1397
578	1918	1394
579	1921	1391
580	1925	1388
581	1928	1385
582	1933	1383
583	1937	1380
584	1940	1376
585	1944	1373
586	1948	1370
587	1951	1367
588	1955	1364
589	1958	1361
590	1961	1357
591	1965	1354
592	1969	1351
593	1972	1348
594	1976	1345
595	1979	1341
596	1982	1338
597	1986	1335
598	1989	1331
599	1992	1328
600	1995	1324
601	1999	1321
602	2002	1318
603	2005	1314
604	2008	1311
605	2011	1308
606	2015	1304
607	2018	1301
608	2022	1298
609	2027	1296
610	2032	1294
611	2035	1290
612	2039	1287
613	2042	1283
614	2047	1281
615	2052	1279
616	2057	1276
617	2060	1273
618	2064	1270
619	2067	1267
620	2070	1263
621	2073	1260
622	2077	1256
623	2080	1253
624	2084	1250
625	2087	1247
626	2090	1243
627	2094	1240
628	2098	1237
629	2101	1234
630	2105	1230
631	2109	1228
632	2112	1224
633	2115	1221
634	2119	1218
635	2122	1214
636	2126	1211
637	2129	1208
638	2132	1204
639	2136	1201
640	2139	1198
641	2143	1195
642	2146	1191
643	2150	1188
644	2153	1185
645	2156	1181
646	2160	1178
647	2164	1175
648	2167	1172
649	2170	1168
650	2174	1165
651	2179	1163
652	2182	1159
653	2185	1156
654	2188	1152
655	2192	1149
656	2195	1146
657	2198	1142
658	2201	1139
659	2205	1136
660	2208	1132
661	2211	1129
662	2215	1125
663	2218	1122
664	2221	1119
665	2225	1115
666	2228	1112
667	2232	1109
668	2235	1105
669	2238	1102
670	2241	1099
671	2244	1095
672	2247	1092
673	2251	1088
674	2253	1085
675	2256	1081
676	2260	1078
677	2263	1074
678	2266	1071
679	2269	1067
680	2272	1064
681	2275	1061
682	2279	1057
683	2282	1054
684	2285	1050
685	2288	1047
686	2291	1043
687	2294	1040
688	2297	1037
689	2300	1033
690	2303	1030
691	2307	1027
692	2311	1023
693	2314	1020
694	2318	1017
695	2323	1014
696	2328	1012
697	2332	1009
698	2335	1005
699	2338	1002
700	2342	999
701	2346	996
702	2350	993
703	2354	989
704	2357	986
705	2361	983
706	2364	979
707	2367	976
708	2370	972
709	2374	969
710	2377	966
711	2380	962
712	2383	959
713	2386	955
714	2389	952
715	2392	949
716	2395	945
717	2398	942
718	2401	938
719	2405	935
720	2408	932
721	2411	928
722	2414	925
723	2417	921
724	2420	918
725	2424	914
726	2427	911
727	2430	908
728	2433	904
729	2436	901
730	2440	898
731	2443	894
732	2446	891
733	2449	887
734	2452	884
735	2456	881
736	2459	877
737	2462	874
738	2465	870
739	2468	867
740	2472	864
741	2476	860
742	2478	857
743	2481	854
744	2484	850
745	2488	847
746	2492	844
747	2495	840
748	2498	837
749	2501	833
750	2504	830
751	2508	827
752	2511	823
753	2514	820
754	2518	817
755	2523	814
756	2527	811
757	2530	807
758	2533	804
759	2537	801
760	2540	797
761	2543	794
762	2546	791
763	2549	787
764	2553	784
765	2556	780
766	2559	777
767	2562	774
768	2565	770
769	2568	767
770	2571	763
771	2574	760
772	2578	757
773	2580	753
774	2583	750
775	2587	746
776	2590	743
777	2593	740
778	2596	736
779	2599	733
780	2602	729
781	2605	726
782	2608	723
783	2612	719
784	2615	716
785	2619	713
786	2622	709
787	2625	706
788	2628	702
789	2631	699
790	2635	696
791	2638	692
792	2642	689
793	2646	686
794	2649	683
795	2654	680
796	2657	676
797	2660	673
798	2663	670
799	2667	666
800	2670	663
801	2673	660
802	2676	656
803	2679	653
804	2682	649
805	2686	646
806	2690	643
807	2693	640
808	2696	636
809	2700	633
810	2703	630
811	2706	626
812	2710	623
813	2713	619
814	2716	616
815	2719	613
816	2723	609
817	2726	606
818	2729	603
819	2732	599
820	2736	596
821	2739	593
822	2742	589
823	2745	586
824	2748	582
825	2751	579
826	2754	576
827	2757	572
828	2760	569
829	2764	566
830	2768	563
831	2771	559
832	2774	556
833	2777	552
834	2782	549
835	2785	546
836	2789	543
837	2792	539
838	2795	536
839	2799	533
840	2802	529
841	2805	526
842	2808	523
843	2812	519
844	2815	516
845	2818	513
846	2821	509
847	2824	506
848	2827	502
849	2831	499
850	2836	496
851	2839	493
852	2842	489
853	2845	486
854	2848	483
855	2851	479
856	2854	476
857	2857	472
858	2860	469
859	2863	466
860	2866	462
861	2869	459
862	2872	456
863	2876	452
864	2880	449
865	2884	446
866	2886	442
867	2889	439
868	2892	436
869	2895	432
870	2898	429
871	2901	425
872	2905	422
873	2907	419
874	2910	415
875	2913	412
876	2916	409
877	2919	405
878	2922	402
879	2925	398
880	2928	395
881	2931	392
882	2934	388
883	2936	385
884	2939	382
885	2942	378
886	2945	375
887	2948	371
888	2951	368
889	2954	365
890	2957	361
891	2960	358
892	2963	355
893	2966	351
894	2969	348
895	2972	344
896	2975	341
897	2978	338
898	2981	334
899	2984	331
900	2987	328
901	2990	324
902	2994	321
903	2997	318
904	3000	314
905	3003	311
906	3006	308
907	3009	304
908	3012	301
909	3015	298
910	3018	294
911	3021	291
912	3024	288
913	3027	284
914	3030	281
915	3033	278
916	3036	274
917	3039	271
918	3042	268
919	3045	264
920	3048	261
921	3051	258
922	3054	254
923	3058	251
924	3061	248
925	3064	244
926	3068	241
927	3070	238
928	3074	234
929	3077	231
930	3080	228
931	3083	225
932	3087	221
933	3090	218
934	3094	215
935	3097	211
936	3100	208
937	3104	205
938	3109	202
939	3112	198
940	3115	195
941	3118	192
942	3121	188
943	3125	185
944	3130	182
945	3134	178
946	3139	175
947	3143	172
948	3147	169
949	3150	165
950	3153	162
951	3157	159
952	3160	155
953	3164	152
954	3167	149
955	3170	145
956	3173	142
957	3176	139
958	3179	135
959	3182	132
960	3185	129
961	3188	125
962	3191	122
963	3194	119
964	3197	115
965	3201	112
966	3205	109
967	3210	106
968	3213	102
969	3216	99
970	3219	96
971	3222	92
972	3225	89
973	3228	86
974	3231	82
975	3234	79
976	3236	76
977	3240	72
978	3243	69
979	3246	66
980	3248	62
981	3251	59
982	3254	56
983	3257	52
984	3260	49
985	3263	46
986	3266	43
987	3269	39
988	3272	36
989	3275	33
990	3278	29
991	3281	26
992	3284	23
993	3288	19
994	3291	16
995	3294	13
996	3297	9
997	3300	6
998	3303	3
999	3306	0
