iter	Logloss
0	0.6673888171
1	0.6434967635
2	0.6204730922
3	0.5985617572
4	0.5768928652
5	0.5604148104
6	0.5452511146
7	0.5300877147
8	0.514913286
9	0.5015166618
10	0.4891037757
11	0.4766653805
12	0.4657357041
13	0.4554553181
14	0.4477066548
15	0.4387349463
16	0.4318777274
17	0.4252062342
18	0.4167770169
19	0.4091320246
20	0.4016481225
21	0.3953086066
22	0.3893980351
23	0.3838608982
24	0.3795677955
25	0.3742623001
26	0.3708640296
27	0.3677951828
28	0.3642703246
29	0.3618411664
30	0.3576011841
31	0.3535233742
32	0.3507771838
33	0.3473404923
34	0.3457192802
35	0.3433397751
36	0.3402962723
37	0.3385186858
38	0.3356467792
39	0.3336626813
40	0.3319629169
41	0.3296226543
42	0.3282875636
43	0.3258740461
44	0.3240329213
45	0.3221707137
46	0.3202881338
47	0.3192613748
48	0.3179310352
49	0.3165961243
50	0.3153169141
51	0.3137310034
52	0.3124693009
53	0.3116047472
54	0.310676932
55	0.3095050248
56	0.3084387206
57	0.3072092849
58	0.3067276454
59	0.3061337659
60	0.3050664586
61	0.304512595
62	0.3035029441
63	0.3030064896
64	0.3021042081
65	0.3016451235
66	0.3007244479
67	0.2999594402
68	0.2992362809
69	0.2985212467
70	0.2980569122
71	0.2974391132
72	0.2967221896
73	0.2963934327
74	0.2957949268
75	0.2950940142
76	0.2945523609
77	0.2941065181
78	0.2934589677
79	0.2930782036
80	0.29242504
81	0.291826287
82	0.2914243204
83	0.2911684451
84	0.2908770775
85	0.2904806657
86	0.2900417476
87	0.289775188
88	0.2893585042
89	0.2887932034
90	0.288327466
91	0.2880087505
92	0.2875747497
93	0.287107014
94	0.2868457072
95	0.2865655111
96	0.2861123918
97	0.2857937902
98	0.2854654014
99	0.2850330534
100	0.2848501946
101	0.2845546277
102	0.2843347057
103	0.28407091
104	0.2836282829
105	0.2833251539
106	0.2830837457
107	0.2828017401
108	0.2825217728
109	0.2822724058
110	0.2821079393
111	0.2818754816
112	0.281502913
113	0.2811049374
114	0.2808305602
115	0.280602515
116	0.280251659
117	0.2798827006
118	0.2795729989
119	0.2793364944
120	0.2790147473
121	0.2786878413
122	0.2783982527
123	0.2780890525
124	0.2778202515
125	0.277578856
126	0.2773592522
127	0.2772197473
128	0.2769984802
129	0.2769470792
130	0.276709183
131	0.2765214574
132	0.2763119074
133	0.276081928
134	0.2758519597
135	0.2755668023
136	0.2753651171
137	0.2752086088
138	0.2749486283
139	0.2747833321
140	0.2746776237
141	0.2744873061
142	0.2742304269
143	0.2739352775
144	0.2737554781
145	0.2735318415
146	0.2733430881
147	0.2731549426
148	0.2729745094
149	0.272808022
150	0.2726386609
151	0.2723948866
152	0.2722364708
153	0.2720301934
154	0.2718074992
155	0.2717011519
156	0.2716409529
157	0.2714914619
158	0.2713376337
159	0.2712088674
160	0.271072977
161	0.2709446764
162	0.2706864403
163	0.2703782708
164	0.2702704505
165	0.270015625
166	0.2697585382
167	0.2696490553
168	0.269557409
169	0.2693931609
170	0.269221532
171	0.2690187338
172	0.2688740813
173	0.2687307141
174	0.2684361353
175	0.2683677111
176	0.2682348276
177	0.2680762019
178	0.2678581811
179	0.2676855854
180	0.2674722169
181	0.2673174352
182	0.2671852059
183	0.2670045444
184	0.2668221363
185	0.2665628005
186	0.2664381091
187	0.2661602042
188	0.2659860519
189	0.2658806457
190	0.2656046033
191	0.2654022205
192	0.2652490778
193	0.2650765633
194	0.2648269786
195	0.2647179113
196	0.2645437055
197	0.2643273453
198	0.2641346695
199	0.2639335275
200	0.2638038573
201	0.2636552641
202	0.2635032137
203	0.2633657608
204	0.263215426
205	0.263092353
206	0.2629354274
207	0.2627679387
208	0.2626312578
209	0.2624741691
210	0.2623180817
211	0.2621803664
212	0.261961025
213	0.2619059948
214	0.2617902913
215	0.2616457734
216	0.261570368
217	0.2613414349
218	0.261161162
219	0.2609826555
220	0.260855935
221	0.2606883084
222	0.260647263
223	0.2605605063
224	0.2604682204
225	0.2604442691
226	0.2603900542
227	0.2602502236
228	0.2600556928
229	0.2599723624
230	0.2599224702
231	0.2596944101
232	0.259436541
233	0.2592627477
234	0.259180468
235	0.2590483778
236	0.2589572423
237	0.2588833888
238	0.2586581885
239	0.2584780986
240	0.2583111383
241	0.2582504412
242	0.2581163867
243	0.257922085
244	0.2577634398
245	0.2575895679
246	0.2574374039
247	0.257315307
248	0.2572110016
249	0.2570237568
250	0.2569307055
251	0.2568370312
252	0.2567891495
253	0.2566962919
254	0.2566070725
255	0.2564432211
256	0.2562936361
257	0.2561651755
258	0.2560122338
259	0.2559231586
260	0.2557466482
261	0.2557134816
262	0.2555754553
263	0.2555232388
264	0.2553537456
265	0.2550925029
266	0.2549194729
267	0.254726439
268	0.2546425849
269	0.2544666541
270	0.2543271788
271	0.2541129096
272	0.253961083
273	0.2539264737
274	0.2537578268
275	0.2535386696
276	0.2534032849
277	0.2533163751
278	0.2531740516
279	0.2530815815
280	0.2529503056
281	0.2528447504
282	0.2526776732
283	0.2525287772
284	0.2523983105
285	0.2522812749
286	0.2520805211
287	0.2519430868
288	0.2518548762
289	0.2517723684
290	0.2516790617
291	0.2515973098
292	0.2514574633
293	0.2513092208
294	0.251136274
295	0.2509709581
296	0.2508670036
297	0.2507337239
298	0.2507005751
299	0.2505059332
300	0.250285472
301	0.2500882372
302	0.2498880743
303	0.2497483532
304	0.2495774491
305	0.2495324535
306	0.2493751136
307	0.249228966
308	0.249096271
309	0.248950284
310	0.2488472854
311	0.2487397367
312	0.2485904802
313	0.2484785802
314	0.2484314603
315	0.2482672498
316	0.2481200641
317	0.2480510289
318	0.2479122734
319	0.2477101871
320	0.247513547
321	0.2473275519
322	0.2471499451
323	0.2470544122
324	0.2469452168
325	0.2468715094
326	0.2467270498
327	0.2466520259
328	0.2464889679
329	0.2463881056
330	0.2462606954
331	0.2460558764
332	0.2458912978
333	0.24578864
334	0.2457007994
335	0.2456733777
336	0.2455623582
337	0.2454322985
338	0.2451764982
339	0.2449638562
340	0.24485246
341	0.2447493009
342	0.2446446723
343	0.244420263
344	0.2443795145
345	0.244272757
346	0.2441401061
347	0.2439883202
348	0.2439013139
349	0.243801699
350	0.2436025083
351	0.2435349934
352	0.2434742811
353	0.2433320951
354	0.2432864722
355	0.2431821092
356	0.2430140912
357	0.2428570692
358	0.2427473129
359	0.2426221391
360	0.2424243733
361	0.2423449969
362	0.2422552799
363	0.2421578107
364	0.2419975123
365	0.2418291438
366	0.2416674423
367	0.2415226555
368	0.2413049632
369	0.2411106606
370	0.2409680811
371	0.24093062
372	0.2407785152
373	0.2405734264
374	0.2404087039
375	0.240271735
376	0.2401872334
377	0.2401077412
378	0.2399094247
379	0.2397636209
380	0.2395105626
381	0.2393414716
382	0.2392116581
383	0.2391279518
384	0.2390312002
385	0.238901781
386	0.238718977
387	0.2386672627
388	0.2385508049
389	0.2384620351
390	0.2383398706
391	0.238124047
392	0.2379582919
393	0.2377994015
394	0.2377123264
395	0.2374853182
396	0.2372992854
397	0.237126727
398	0.2369049968
399	0.2367178551
400	0.2365592244
401	0.2364900316
402	0.2364468182
403	0.2362802082
404	0.236159045
405	0.2360391755
406	0.2358364806
407	0.2356762384
408	0.2354287513
409	0.2352972973
410	0.2352089467
411	0.2351584075
412	0.2349448169
413	0.2348088981
414	0.2346809371
415	0.2344770314
416	0.2343795719
417	0.2342329129
418	0.2341196079
419	0.2340712426
420	0.2340237146
421	0.233804475
422	0.2336409092
423	0.2335337591
424	0.2335164347
425	0.2333931601
426	0.233257287
427	0.2330082234
428	0.2327852571
429	0.2326464578
430	0.2325687717
431	0.2325285221
432	0.2323292425
433	0.2322882698
434	0.2321116317
435	0.2319560993
436	0.2318345801
437	0.2317014475
438	0.231568346
439	0.2314326752
440	0.2314149848
441	0.2313617387
442	0.2312248644
443	0.231008397
444	0.2308934049
445	0.2307026009
446	0.2306300689
447	0.230448846
448	0.230284304
449	0.2301828353
450	0.2300575029
451	0.2299350467
452	0.2298107392
453	0.2296780755
454	0.2295164553
455	0.2293613555
456	0.2292364002
457	0.229009269
458	0.2287313435
459	0.2286024455
460	0.2284949236
461	0.2284016638
462	0.2282512466
463	0.2280464188
464	0.2280279948
465	0.2278927631
466	0.2277771893
467	0.2275931461
468	0.2274726854
469	0.2273095132
470	0.2271581499
471	0.227124602
472	0.2269354714
473	0.2267259751
474	0.2264771078
475	0.226230674
476	0.2262065909
477	0.2260815482
478	0.2260266862
479	0.2259290549
480	0.2256818123
481	0.2255036342
482	0.2252724508
483	0.2252451351
484	0.2251224116
485	0.2250822955
486	0.2249137848
487	0.2247328198
488	0.2245465215
489	0.2244112252
490	0.2243006432
491	0.2242736927
492	0.2241555431
493	0.2240718518
494	0.2238176802
495	0.2236635421
496	0.2235593274
497	0.2233954478
498	0.2232569068
499	0.2230366399
500	0.2228865384
501	0.2227416701
502	0.2225729679
503	0.2224207124
504	0.2223358482
505	0.2220965272
506	0.2219435687
507	0.2217874315
508	0.221690511
509	0.2215812136
510	0.2213866216
511	0.2212979094
512	0.2212823902
513	0.221233921
514	0.2209938038
515	0.2208785129
516	0.2207916203
517	0.2206876207
518	0.2205280745
519	0.2203651103
520	0.220286239
521	0.2200953989
522	0.2198588108
523	0.2197553161
524	0.2197210864
525	0.2195056104
526	0.2193841394
527	0.2193594445
528	0.2191695114
529	0.2190830685
530	0.2190600509
531	0.2189866187
532	0.2189141018
533	0.2188397574
534	0.2187510622
535	0.2186228213
536	0.2184372615
537	0.2182645445
538	0.218065509
539	0.2179074557
540	0.2178126313
541	0.2177155052
542	0.2175664821
543	0.2175432122
544	0.217394756
545	0.217265308
546	0.2172374024
547	0.2172219097
548	0.2170672494
549	0.2168854624
550	0.216762405
551	0.2166325268
552	0.2165736667
553	0.2164476326
554	0.2162204314
555	0.2161052142
556	0.2159414593
557	0.2157852832
558	0.215735086
559	0.2155921838
560	0.2155015857
561	0.2153197334
562	0.2151544298
563	0.2150431364
564	0.2149602107
565	0.2148152713
566	0.214706187
567	0.2146167311
568	0.2145129982
569	0.2143349392
570	0.2141740828
571	0.2140366939
572	0.2138937107
573	0.213755449
574	0.2137185339
575	0.2136347107
576	0.2135593705
577	0.213530187
578	0.2135101496
579	0.2133764559
580	0.2133629112
581	0.2133069767
582	0.2131723437
583	0.213032018
584	0.2129132537
585	0.2128778798
586	0.2127986245
587	0.21265799
588	0.2126486618
589	0.2125636586
590	0.2125394123
591	0.2123915844
592	0.2123844522
593	0.2122324621
594	0.2120883641
595	0.2120061761
596	0.2118700025
597	0.2116920591
598	0.2115774466
599	0.211479646
600	0.2113580466
601	0.2112014948
602	0.2110160066
603	0.2108765457
604	0.2107881796
605	0.2106552856
606	0.2106371057
607	0.2105464842
608	0.2104566496
609	0.2103056759
610	0.2101574142
611	0.2099642614
612	0.2097811357
613	0.2096354916
614	0.2094416223
615	0.2092647874
616	0.2091191391
617	0.2091069868
618	0.2089676777
619	0.2088161032
620	0.2087272081
621	0.2085328611
622	0.2083744037
623	0.2082230545
624	0.2080977085
625	0.2079903503
626	0.207903547
627	0.2078953172
628	0.2077713305
629	0.2076000846
630	0.2074921274
631	0.2074029765
632	0.2073866481
633	0.2072639865
634	0.207126208
635	0.2070424453
636	0.2068956789
637	0.2068649778
638	0.2067228246
639	0.206602344
640	0.2064855176
641	0.2064056978
642	0.2063796449
643	0.2062639931
644	0.2062363653
645	0.2060956022
646	0.20595783
647	0.2058194114
648	0.2056491378
649	0.2055271116
650	0.2053576896
651	0.2052811646
652	0.2051344703
653	0.2049614334
654	0.2047501756
655	0.204578427
656	0.2043979176
657	0.2042667644
658	0.2041108678
659	0.2040093614
660	0.2039024275
661	0.2037565784
